chartName,category,img,link,description
Säulendiagramm,Zeitliche Veränderung,saeulen-diagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,"Säulen eignen sich gut für die Darstellung von Veränderungen im Zeitablauf - am besten jedoch mit jeweils nur einer Datenreihe."
Säulendiagramm mit Zeitleiste,Zeitliche Veränderung,saeulendiagramm-zeitleiste.svg,https://dwbrand.frontify.com/document/22#/saeulendiagramm-zeitleiste-1542386072,"Spalten eignen sich gut für die Darstellung von Veränderungen im Zeitablauf - am besten jedoch mit jeweils nur einer Datenreihe."
Steigungsdiagramm,Zeitliche Veränderung,steigungsdiagramm.svg,https://dwbrand.frontify.com/document/22#/steigungsdiagramm,"Gut um sich ändernde Date darzustellen, solange die Daten in 2 oder 3 Punkte vereinfacht werden können, ohne dass ein wichtiger Teil der Geschichte verloren geht."
Candlestick,Zeitliche Veränderung,candlestick.svg,TRUE,"Gewöhnlich auf das Tagesgeschäft fokussiert, zeigen diese Diagramme die Eröffnungs- und Schlusspunkte sowie die Hoch- und Tiefpunkte eines jeden Tages."
Fächerdiagramm,Zeitliche Veränderung,faecherdiagramm.svg,TRUE,"Verwenden Sie diese Option, um die Unsicherheit in zukünftigen Projektionen zu zeigen - normalerweise wächst diese umso weiter, je weiter vorwärts zur Projektion."
Verbundenes Streudiagramm,Zeitliche Veränderung,verbundenes-streudiagramm.svg,TRUE,"Eine gute Möglichkeit, die sich ändernden Daten für zwei Variablen darzustellen, ist ein relativ klares Verlaufsmuster."
Kalendar Heatmap,Zeitliche Veränderung,kalender-heatmap.svg,TRUE,"Eine großartige Möglichkeit, zeitliche Muster (täglich, wöchentlich, monatlich) zu zeigen - auf Kosten der Präzision in der Quantität."
Priestley-Zeitleiste,Zeitliche Veränderung,priestley-zeitleiste.svg,TRUE,"Großartig, wenn Datum und Dauer Schlüsselelemente der Geschichte in den Daten sind."
Kreis-Zeitleiste,Zeitliche Veränderung,kreis-zeitleiste.svg,TRUE,"Gut geeignet für die Anzeige von separaten Werten unterschiedlicher Größe über mehrere Kategorien hinweg (z.B. Erdbeben je Kontinent)."
Vertikale-Zeitleiste,Zeitliche Veränderung,vertikale-zeitleiste.svg,TRUE,"Zeigt die Zeit auf der Y-Achse an. Gut geeignet für die Anzeige detaillierter Zeitreihen, die besonders gut beim Scrollen auf dem Handy funktionieren."
Seismogramm,Zeitliche Veränderung,seismogramm.svg,TRUE,"Eine weitere Alternative zur Kreiszeitachse, um Serien mit großen Variationen in den Daten darzustellen."
Gestaffeltes Säulendiagramm,Teil des Ganzen,gestaffeltes-saeulendiagramm.svg,TRUE,"Eine einfache Möglichkeit, „Teil-des-Ganzen-Beziehungen“ darzustellen, kann aber mit mehr als ein paar Komponenten schwierig zu lesen sein."
Marimekko,Teil des Ganzen,marimekko.svg,TRUE,"Eine gute Möglichkeit, die Größe und den Anteil der Daten gleichzeitig darzustellen - vorausgesetzt, die Daten sind nicht zu kompliziert."
Tortendiagramm,Teil des Ganzen,tortendiagramm.svg,https://dwbrand.frontify.com/document/22#/kreisdiagramm,"Eine gebräuchliche Methode zur Darstellung von „Teil-des-Ganzen-Daten“ – aber seien Sie sich bewusst, dass es schwierig ist, die Größe der Segmente genau zu vergleichen."
Donutdiagramm,Teil des Ganzen,donutdiagramm.svg,TRUE,"Ähnlich wie bei einem Kreisdiagramm - aber das Zentrum kann eine gute Möglichkeit sein, Platz zu schaffen, um mehr Informationen über die Daten (z.B. Gesamt) zu erhalten."
Kacheldiagramm,Teil des Ganzen,kacheldiagramm.svg,TRUE,"Verwendung für hierarchische „Teil-des-Ganzen-Beziehungen“; kann schwierig zu lesen sein, wenn es viele kleine Segmente gibt."
Bogendiagramm,Teil des Ganzen,bogendiagramm.svg,TRUE,"Ein Halbkreis, der häufig für die Visualisierung politischer Ergebnisse in Parlamenten genutzt wird."
Gitterdiagramm,Teil des Ganzen,gitterdiagramm.svg,TRUE,"Gut für die Anzeige von %-Informationen, sie funktionieren am besten, wenn sie auf ganze Zahlen angewendet werden und funktionieren gut in mehreren Layouts."
Mengendiagramm,Teil des Ganzen,venn.svg,TRUE,"Generell nur für die schematische Darstellung verwendet."
Wasserfall-Diagramm,Teil des Ganzen,wasserfall-diagramm.svg,TRUE,"Kann nützlich sein, um „Teil-des-Ganzen-Beziehungen“ zu zeigen, bei denen einige der Komponenten negativ sind."
Säulendiagramm,Größen- ordnung,saeulen-diagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,"Die Standardmethode, um die Größe der Dinge zu vergleichen. Muss immer bei 0 auf der Achse beginnen."
Balkendiagramm,Größen- ordnung,balkendiagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,"Gut, wenn die Daten keine Zeitreihen sind und Etiketten lange Kategorienamen haben."
Gruppiertes Säulendiagramm,Größen- ordnung,gruppiertes-saeulendiagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,"Wie Standard-Säulendiagramm, aber erlaubt mehrere Serien. Kann bei mehr als 2 Serien schwierig zu lesen sein."
Gruppiertes Balkendiagramm,Größen- ordnung,gruppiertes-balkendiagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,"Siehe Gruppiertes Säulendiagramm."
Marimekko,Größen- ordnung,marimekko.svg,TRUE,"Eine gute Möglichkeit, die Größe und den Anteil der Daten gleichzeitig darzustellen – vorausgesetzt, die Daten sind nicht zu kompliziert."
Proportionale Symbole Karte,Größen- ordnung,proportionale-symbole-karte.svg,TRUE,"Zu Verwenden, wenn es große Unterschiede zwischen den Werten gibt und/oder wenn kleine Abweichungen zwischen den Daten nicht so wichtig sind."
Isotype,Größen- ordnung,isotype.svg,https://dwbrand.frontify.com/document/22#/isotype-piktogramm,"Hervorragende Lösung in einigen Fällen - verwenden Sie nur ganze Zahlen (schneiden Sie nicht einen Arm ab, um eine Dezimalstelle darzustellen)."
"Lollipop",Größen- ordnung,lollipop-diagramm.svg,TRUE,"Lollipop-Diagramme lenken mehr Aufmerksamkeit auf den Datenwert als herkömmliche Balken/Spalten - sie müssen nicht bei Null beginnen (aber vorzuziehen)."
Radar,Größen- ordnung,radar.svg,TRUE,"Eine platzsparende Art und Weise, den Wert mehrerer Variablen darzustellen – aber stellen Sie sicher, dass sie so organisiert sind, dass sie für den Leser sinnvoll sind."
Parallele Koordinaten,Größen- ordnung,parallele-koordinaten.svg,TRUE,"Eine Alternative zu Radarkarten – auch hier ist die Anordnung der Variablen wichtig. In der Regel profitiert man von der Hervorhebung von Werten."
Gruppierte Symbole,Größen- ordnung,gruppierte-symbole.svg,TRUE,"Eine Alternative zu Balken-/ Spaltendiagrammen, wenn es darum geht, Daten zu zählen oder einzelne Elemente hervorzuheben, ist sinnvoll."
Flächenkartogramm (Choropletenkarte),Räumlich,flaechenkartogramm.svg,TRUE,"Der Standardansatz für die Darstellung von Daten auf einer Karte - sollte nicht Summen, sondern Raten sein und eine vernünftige Basisgeographie verwenden."
Proportionale Symbole (Anzahl/Höhe),Räumlich,proportionale-symbole-karte.svg,TRUE,"Für Summen anstatt für Raten - seien Sie vorsichtig, dass kleine Abweichungen in den Daten schwer zu erkennen sind. Überlegen Sie ob ein Balkendiagramm besser wäre."
Flusskarten,Räumlich,flusskarten.svg,TRUE,"Zur Darstellung einer eindeutigen Bewegung über eine Karte hinweg."
Höhenlinienkarte,Räumlich,hoehenlinienkarte.svg,TRUE,"Zur Darstellung gleichwertiger Flächen auf einer Karte. Verwendung von Abweichungs-Farbschemata zur Darstellung von +/- Werten möglich"
Punkte-Dichte Karte,Räumlich,punkte-dichte-karte.svg,TRUE,"Wird verwendet, um den Standort einzelner Ereignisse/Standorte anzuzeigen - stellen Sie sicher, dass Sie alle Muster, die der Leser sehen sollte, mit Anmerkungen versehen."
Heatmap,Räumlich,heatmap.svg,https://dwbrand.frontify.com/document/22#/heatmap,"Rasterbasierte Datenwerte, die mit einer Intensitäts-Farbskala abgebildet werden. Als Choropleth-Karte – aber nicht zu einer administrativen/politischen Einheit gehalten."
Sankey,Fluss,sankey.svg,TRUE,"Zeigt Änderungen in den Strömungen von eineZustand zu mindestens einem anderen; gut geeignet, um das spätere Ergebnis eines komplexen Prozesses nachzuvollziehen."
Wasserfall-Diagramm,Fluss,wasserfall-diagramm.svg,TRUE,"Entwickelt, um die Reihenfolge der Daten durch einen Ablaufprozess zu zeigen, typischerweise Budgets. Kann +/- Komponenten enthalten."
Akkord-Diagramm,Fluss,akkord-diagramm.svg,TRUE,"Ein komplexes, aber mächtiges Diagramm, das 2-Wege-Ströme (und Nettogewinner) in einer Matrix darstellen kann."
Netzwerk-Diagramm,Fluss,netzwerk-diagramm.svg,TRUE,"Wird verwendet, um die Stärke und Verbundenheit von Beziehungen unterschiedlicher Art zu zeigen."
